"si_id","edt_id","pollutant_standard_id","tribal_code","state_code","county_code","site_number","parameter_code","dv_year","latitude","longitude","address","city_name","county_name","local_site_name","local_site_id","urbanized_area","cbsa_name","state_name","tribe_name","year_0_valid_days","year_0_complete_quarters","year_0_arith_mean","year_0_98th_percentile","year_0_certification_ind","year_1_valid_days","year_1_complete_quarters","year_1_arith_mean","year_1_98th_percentile","year_1_certification_ind","year_2_valid_days","year_2_complete_quarters","year_2_arith_mean","year_2_98th_percentile","year_2_certification_ind","year_0_q1_valid_days","year_0_q2_valid_days","year_0_q3_valid_days","year_0_q4_valid_days","year_1_q1_valid_days","year_1_q2_valid_days","year_1_q3_valid_days","year_1_q4_valid_days","year_2_q1_valid_days","year_2_q2_valid_days","year_2_q3_valid_days","year_2_q4_valid_days","q1_valid_days","q2_valid_days","q3_valid_days","q4_valid_days","year_0_q1_percent_one_day","year_0_q2_percent_one_day","year_0_q3_percent_one_day","year_0_q4_percent_one_day","year_1_q1_percent_one_day","year_1_q2_percent_one_day","year_1_q3_percent_one_day","year_1_q4_percent_one_day","year_2_q1_percent_one_day","year_2_q2_percent_one_day","year_2_q3_percent_one_day","year_2_q4_percent_one_day","q1_min_value","q2_min_value","q3_min_value","q4_min_value","q1_max_value","q2_max_value","q3_max_value","q4_max_value","year_0_first_max","year_0_second_max","year_0_third_max","year_0_fourth_max","year_0_fifth_max","year_0_sixth_max","year_0_seventh_max","year_0_eighth_max","year_1_first_max","year_1_second_max","year_1_third_max","year_1_fourth_max","year_1_fifth_max","year_1_sixth_max","year_1_seventh_max","year_1_eighth_max","year_2_first_max","year_2_second_max","year_2_third_max","year_2_fourth_max","year_2_fifth_max","year_2_sixth_max","year_2_seventh_max","year_2_eighth_max","design_value","dv_validity_indicator","pollutant_standard","primary_standard_level","comparison_scale","statistic_name","parameter_name","unit_code","units_of_measure","year_0_high_sub","year_0_low_sub","year_1_high_sub","year_1_low_sub","year_2_high_sub","year_2_low_sub","all_12_qtrs_gt_50","all_12_qtrs_gt_75","all_4_qtrs_gt_200_days","select_date"
159,5,20,,"01","073","0023","42602",2013,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,31,0,23.141935483871,46.2,"N",,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,7.3,,,,46.2,46.2,40.3,39.3,39.2,35.4,35.1,32.4,30.6,,,,,,,,,,,,,,,,,46,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,,,"N","N","N",2012-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2014,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,300,3,22.809,40.9,"N",31,0,23.141935483871,46.2,"N",,,,,,29,87,92,92,,,,31,,,,,,,,,0.5,1,1,1,,,,0.34,,,,,7,7.1,4,6.4,83.2,42.2,42.6,46.2,83.2,65.1,47.1,44.9,42.6,42.2,40.9,40.5,46.2,40.3,39.3,39.2,35.4,35.1,32.4,30.6,,,,,,,,,44,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,,,"N","N","N",2013-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2015,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,351,4,22.1638176638177,40.1,"N",300,3,22.809,40.9,"N",31,0,23.141935483871,46.2,"N",86,84,89,92,29,87,92,92,,,,31,,,,215,0.99,0.96,1,1,0.5,1,1,1,,,,0.34,4.5,5.9,4,4.3,83.2,48.5,42.6,46.2,48.5,44.8,43.2,42.5,42.4,42.1,41.6,40.1,83.2,65.1,47.1,44.9,42.6,42.2,40.9,40.5,46.2,40.3,39.3,39.2,35.4,35.1,32.4,30.6,42,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",40.1,40.1,,,,,"N","N","N",2014-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2016,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,304,3,23.775,41,"Y",351,4,22.1638176638177,40.1,"N",300,3,22.809,40.9,"N",91,91,90,32,86,84,89,92,29,87,92,92,206,262,271,216,1,1,1,0.41,0.99,0.96,1,1,0.5,1,1,1,4.1,5.9,4,4.3,83.2,51.7,48.7,44.9,51.7,49.1,48.7,47.2,46,44.6,41,39.6,48.5,44.8,43.2,42.5,42.4,42.1,41.6,40.1,83.2,65.1,47.1,44.9,42.6,42.2,40.9,40.5,41,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,40.1,40.1,,,"N","N","Y",2015-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2017,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,341,4,20.7126099706745,38,"Y",304,3,23.775,41,"Y",351,4,22.1638176638177,40.1,"N",83,88,86,84,91,91,90,32,86,84,89,92,260,263,265,208,1,1,1,0.97,1,1,1,0.41,0.99,0.96,1,1,4.1,4.1,5.6,4.1,44.8,51.7,48.7,43.2,40.8,40.6,38.7,38.6,38.4,38.2,38,37.8,51.7,49.1,48.7,47.2,46,44.6,41,39.6,48.5,44.8,43.2,42.5,42.4,42.1,41.6,40.1,40,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",38,38,,,40.1,40.1,"N","N","Y",2016-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2018,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,339,4,20.2144542772861,37.5,"Y",341,4,20.7126099706745,38,"Y",304,3,23.775,41,"Y",87,89,91,72,83,88,86,84,91,91,90,32,261,268,267,188,1,1,1,0.85,1,1,1,0.97,1,1,1,0.41,3.5,3.5,5.6,4.1,40.8,51.7,48.7,38.4,41.7,40.7,40.6,39.1,38.3,37.7,37.5,36.7,40.8,40.6,38.7,38.6,38.4,38.2,38,37.8,51.7,49.1,48.7,47.2,46,44.6,41,39.6,39,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",37.5,37.5,38,38,,,"N","N","N",2017-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2019,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,327,4,23.2525993883792,44.9,"M",339,4,20.2144542772861,37.5,"Y",341,4,20.7126099706745,38,"Y",80,83,88,76,87,89,91,72,83,88,86,84,250,260,265,232,0.93,0.98,1,0.87,1,1,1,0.85,1,1,1,0.97,3.5,3.5,5.7,4.1,50.2,61.9,49.2,50.2,61.9,50.2,50.2,49.2,47.3,45.1,44.9,44,41.7,40.7,40.6,39.1,38.3,37.7,37.5,36.7,40.8,40.6,38.7,38.6,38.4,38.2,38,37.8,40,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",44.9,44.9,37.5,37.5,38,38,"Y","Y","Y",2018-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2020,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,350,4,19.4868571428571,36.6,"Y",327,4,23.2525993883792,44.9,"M",339,4,20.2144542772861,37.5,"Y",90,89,82,89,80,83,88,76,87,89,91,72,257,261,261,237,1,1,0.96,1,0.93,0.98,1,0.87,1,1,1,0.85,3.5,3.5,4.5,4.2,50.2,61.9,49.2,50.2,42,41.8,38.7,38,37.8,36.7,36.6,36,61.9,50.2,50.2,49.2,47.3,45.1,44.9,44,41.7,40.7,40.6,39.1,38.3,37.7,37.5,36.7,40,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",36.6,36.6,44.9,44.9,37.5,37.5,"Y","Y","Y",2019-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2021,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,314,4,19.6019108280255,38.1,"Y",350,4,19.4868571428571,36.6,"Y",327,4,23.2525993883792,44.9,"M",85,77,83,69,90,89,82,89,80,83,88,76,255,249,253,234,1,0.95,1,0.93,1,1,0.96,1,0.93,0.98,1,0.87,3.6,3.8,4.5,4.2,50.2,61.9,49.2,50.2,44.4,40,39.7,39.6,38.6,38.2,38.2,38.1,42,41.8,38.7,38,37.8,36.7,36.6,36,61.9,50.2,50.2,49.2,47.3,45.1,44.9,44,40,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",38.1,38.1,36.6,36.6,44.9,44.9,"Y","Y","Y",2020-12-31 23:00:00
159,5,20,,"01","073","0023","42602",2022,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,314,4,20.1191082802548,40.4,"S",314,4,19.6019108280255,38.1,"Y",350,4,19.4868571428571,36.6,"Y",81,74,80,79,85,77,83,69,90,89,82,89,256,240,245,237,1,0.97,0.98,0.92,1,0.95,1,0.93,1,1,0.96,1,1.9,3.5,4.5,4.2,48.7,41.5,33,41.8,48.7,46.6,43.6,43.2,41.5,40.8,40.8,40.4,44.4,40,39.7,39.6,38.6,38.2,38.2,38.1,42,41.8,38.7,38,37.8,36.7,36.6,36,38,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",40.4,40.4,38.1,38.1,36.6,36.6,"Y","Y","Y",2021-12-31 23:00:00
