"si_id","edt_id","pollutant_standard","tribal_code","state_code","county_code","site_number","parameter_code","dv_year","latitude","longitude","address","city_name","county_name","state_name","tribe_name","local_site_name","local_site_id","urbanized_area","cbsa_name","year_0_poc","year_0_complete_quarters","year_0_99th_percentile","year_0_complete_ind","year_0_high_test_perc","year_0_low_test_perc","year_0_cert_ind","year_1_poc","year_1_complete_quarters","year_1_99th_percentile","year_1_complete_ind","year_1_high_test_perc","year_1_low_test_perc","year_1_certification_ind","year_2_poc","year_2_complete_quarters","year_2_99th_percentile","year_2_complete_ind","year_2_high_test_perc","year_2_low_test_perc","year_2_certification_ind","design_value","pollutant_standard_id","statistic_name","primary_standard_level","parameter_name","unit_code","units_of_measure","high_test_dv","low_test_dv","q1_3year_valid_days","q1_3year_max_all_days","q1_3year_min_valid_days","q1_min_completeness","q2_3year_valid_days","q2_3year_max_all_days","q2_3year_min_valid_days","q2_min_completeness","q3_3year_valid_days","q3_3year_max_all_days","q3_3year_min_valid_days","q3_min_completeness","q4_3year_valid_days","q4_3year_max_all_days","q4_3year_min_valid_days","q4_min_completeness","dv_validity_indicator","select_date"
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2013,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,4,29.1,"Y",,,"S",2,2,55.1,"N",,,"N",2,4,42.3,"Y",,,"U",42,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,186,38.6,0,24.1758241758242,238,56.5,0,64.8351648351648,269,59.5,0.1,92.3913043478261,274,88.8,0,97.8260869565217,"N",2013-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2014,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,3,41.1,"N",,,"S",2,4,29.1,"Y",,,"S",2,2,55.1,"N",,,"N",42,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,174,38.6,0,24.1758241758242,238,56.5,0,64.8351648351648,269,73.4,0.1,92.3913043478261,260,68.8,0,82.6086956521739,"N",2014-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2015,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,3,45,"N",,,"Y",2,3,41.1,"N",,,"S",2,4,29.1,"Y",,,"S",38,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,175,45.8,0,25.5555555555555,269,46,0,96.7032967032967,269,73.4,0.1,92.3913043478261,260,48.5,0,82.6086956521739,"N",2015-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2016,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,3,44.4,"N",,,"M",2,3,45,"N",,,"Y",2,3,41.1,"N",,,"S",44,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,173,45.8,0,25.5555555555555,269,47.6,0.1,96.7032967032967,273,73.4,0.1,96.7391304347826,217,59.8,-0.1,53.2608695652174,"N",2016-02-29 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2017,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,2,35.8,"N",,,"Y",2,3,44.4,"N",,,"M",2,3,45,"N",,,"Y",42,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,178,45.8,0,25.5555555555555,255,59.4,0.1,81.3186813186813,246,50.2,0.1,70.6521739130435,208,59.8,-0.1,53.2608695652174,"N",2017-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2018,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,2,32,"N",,,"Y",2,2,35.8,"N",,,"Y",2,3,44.4,"N",,,"M",37,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,239,35.8,0,76.6666666666667,254,59.4,0.1,81.3186813186813,222,38.1,0.1,70.6521739130435,148,59.8,-0.1,34.7826086956522,"N",2018-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2019,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,3,26,"N",,,"S",2,2,32,"N",,,"Y",2,2,35.8,"N",,,"Y",31,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,193,35.8,0,44.4444444444444,242,59.4,0.1,81.3186813186813,212,32.7,0.1,70.6521739130435,188,23.6,0,34.7826086956522,"N",2019-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2020,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,4,12,"Y",,,"Y",2,3,26,"N",,25.7,"S",2,2,32,"N",,31.3,"Y",23,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,214,28.4,-0.1,44.4444444444444,256,40.7,0.1,86.8131868131868,228,32.7,0.1,73.9130434782609,210,23.6,0,34.7826086956522,"N",2020-02-29 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2021,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,4,13.3,"Y",,,"Y",2,4,12,"Y",,,"Y",2,3,26,"N",,25.7,"S",17,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,217,26.1,-0.1,44.4444444444444,248,39.4,0.1,86.8131868131868,237,32.7,0.1,83.695652173913,252,23.6,-0.2,80.4347826086956,"N",2021-02-28 23:00:00
159,5,"SO2 1-hour 2010",,"01","073","0023","42401",2022,33.5530560008695,-86.815,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Birmingham","Jefferson","Alabama",,"North Birmingham","BIRM1","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2,4,9.8,"Y",,,,2,4,13.3,"Y",,,"Y",2,4,12,"Y",,,"Y",12,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,257,14.1,-0.3,88.8888888888889,242,19.5,-0.6,80.2197802197802,240,13.3,0,83.695652173913,250,12,-0.2,80.4347826086956,"Y",2022-02-28 23:00:00
