"si_id","tribal_code","state_code","county_code","site_number","parameter_code","poc","dv_year","edt_id","co_1hr_2nd_max_value","co_1hr_2nd_max_date_time","co_8hr_2nd_max_value","co_8hr_2nd_max_date_time","linked_site_indicator","address","local_site_name","latitude","longitude","state_name","county_name","cbsa_name","tribe_name","select_date","dv_validity_ind"
"159",,"01","073","0023","42101","2","2014","5","2.2","2013-01-09 05:00:00","1.2","2013-01-20 08:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2014-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2015","5","1.5","2015-11-14 02:00:00",".9","2014-01-08 06:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2015-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2016","5","2.5","2016-01-05 05:00:00","1.1","2016-11-18 20:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2016-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2017","5","2.8","2017-01-15 23:00:00","2.1","2017-01-11 03:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2017-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2018","5","2.8","2017-01-15 23:00:00","2.1","2017-01-11 03:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2018-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2019","5","1.7","2019-07-03 07:00:00","1.1","2019-01-28 01:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2019-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2020","5","1.8","2020-01-27 18:00:00","1.1","2019-01-28 01:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2020-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2021","5","2","2021-09-05 06:00:00",".9","2020-01-13 01:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2021-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2022","5","2.6","2022-02-14 17:00:00",".9","2021-03-08 08:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2022-01-01 00:00:00","Y"
"159",,"01","073","0023","42101","2","2023","5","2.6","2022-02-14 17:00:00",".8","2022-01-12 23:00:00",,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","North Birmingham","33.553056","-86.815","Alabama","Jefferson","Birmingham-Hoover, AL",,"2023-01-01 00:00:00","Y"
